epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1742,1.19134,2.90602,1.47321,0.00614,0.94791,0.40637,0.24541,1.08097,3.29436,1.56219,0.00040625,0.00040625,0.00040625
2,99.2237,1.26331,2.07381,1.51163,0.32018,0.1883,0.1585,0.07239,1.99965,3.28591,2.55818,0.00081477,0.00081477,0.00081477
3,140.716,1.32721,1.92766,1.55861,0.02905,0.25284,0.02772,0.00853,2.19097,24.2961,3.72797,0.00121504,0.00121504,0.00121504
4,182.111,1.39664,1.90825,1.61345,0.17346,0.27954,0.09749,0.03752,2.11485,3.76608,2.95752,0.00121287,0.00121287,0.00121287
5,219.917,1.36874,1.75228,1.57948,0.11334,0.34016,0.10792,0.04852,1.86567,4.14449,2.4164,0.0012005,0.0012005,0.0012005
6,264.491,1.34432,1.6478,1.55509,0.50309,0.46345,0.39888,0.21994,1.5937,2.4395,2.09772,0.00118812,0.00118812,0.00118812
7,315.582,1.29185,1.52922,1.51232,0.5212,0.42095,0.40945,0.24478,1.4758,2.022,1.92747,0.00117575,0.00117575,0.00117575
8,354.695,1.29,1.4835,1.50715,0.5113,0.38313,0.35134,0.18937,1.62203,2.3503,2.14614,0.00116337,0.00116337,0.00116337
9,402.367,1.26465,1.44589,1.50342,0.53291,0.51115,0.4974,0.29504,1.45891,2.20613,1.86074,0.001151,0.001151,0.001151
10,462.361,1.23901,1.37471,1.48513,0.49195,0.44178,0.40954,0.24224,1.40772,2.24882,1.8298,0.00113863,0.00113863,0.00113863
11,520.509,1.24738,1.34493,1.4713,0.52204,0.50456,0.53547,0.30717,1.44343,1.78887,1.79311,0.00112625,0.00112625,0.00112625
12,576.482,1.22683,1.31239,1.4609,0.37388,0.44142,0.38103,0.21937,1.56081,2.35043,1.86385,0.00111388,0.00111388,0.00111388
13,638.29,1.2166,1.26306,1.45025,0.67934,0.54566,0.61332,0.37376,1.34942,1.65162,1.69216,0.0011015,0.0011015,0.0011015
14,694.894,1.21338,1.26395,1.44702,0.67634,0.52744,0.61785,0.38021,1.40245,1.39148,1.74388,0.00108913,0.00108913,0.00108913
15,744.916,1.20853,1.25207,1.46115,0.64503,0.57299,0.60888,0.39208,1.32763,1.53764,1.74723,0.00107675,0.00107675,0.00107675
16,783.916,1.18563,1.2006,1.41526,0.6305,0.60367,0.6521,0.41103,1.28857,1.32038,1.61581,0.00106437,0.00106437,0.00106437
17,823.844,1.17255,1.1694,1.42209,0.49309,0.49672,0.46454,0.27766,1.4509,1.90219,1.8751,0.001052,0.001052,0.001052
