epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.805,0.53015,0.99881,0.89902,0.91769,0.846,0.92409,0.81002,0.58848,0.75353,0.96488,0.000624706,0.000624706,0.000624706
2,584.926,0.50359,0.55243,0.88875,0.96685,0.90039,0.95638,0.84552,0.58124,0.57345,0.95028,0.00120847,0.00120847,0.00120847
3,858.592,0.47031,0.45668,0.87807,0.98104,0.92495,0.96757,0.88496,0.51437,0.48065,0.93013,0.0011675,0.0011675,0.0011675
4,1157.51,0.44149,0.40088,0.86683,0.96303,0.92646,0.96737,0.8882,0.50774,0.4691,0.93175,0.00112625,0.00112625,0.00112625
5,1470.82,0.41892,0.36517,0.85844,0.98254,0.92464,0.96831,0.89613,0.48566,0.45511,0.92712,0.001085,0.001085,0.001085
6,1773.89,0.40644,0.34232,0.85757,0.98327,0.93617,0.97194,0.90816,0.46266,0.409,0.91777,0.00104375,0.00104375,0.00104375
7,2070.16,0.39051,0.32208,0.8514,0.98754,0.93868,0.97342,0.91805,0.44576,0.37883,0.90582,0.0010025,0.0010025,0.0010025
8,2366.47,0.38021,0.30415,0.84749,0.98704,0.94496,0.9743,0.92016,0.45079,0.36921,0.90539,0.00096125,0.00096125,0.00096125
9,2662.47,0.37526,0.28988,0.84702,0.98522,0.94996,0.975,0.92499,0.43522,0.34479,0.89447,0.00092,0.00092,0.00092
10,2958.22,0.36302,0.27988,0.84307,0.98847,0.94547,0.97519,0.92309,0.43015,0.34199,0.89399,0.00087875,0.00087875,0.00087875
11,3254.18,0.35847,0.27455,0.84054,0.98915,0.94734,0.97541,0.92637,0.42756,0.33116,0.89296,0.0008375,0.0008375,0.0008375
12,3550.61,0.35043,0.26134,0.83821,0.9878,0.94962,0.97538,0.93176,0.41327,0.3273,0.88986,0.00079625,0.00079625,0.00079625
13,3846.96,0.34556,0.25099,0.83617,0.98825,0.95046,0.97563,0.93259,0.40805,0.3155,0.88651,0.000755,0.000755,0.000755
14,4143.46,0.34104,0.24828,0.83582,0.98984,0.95125,0.97623,0.93432,0.40296,0.3111,0.8836,0.00071375,0.00071375,0.00071375
15,4439.99,0.33774,0.24203,0.83437,0.98995,0.95488,0.97686,0.93613,0.39709,0.28592,0.88062,0.0006725,0.0006725,0.0006725
16,4736.59,0.32878,0.23427,0.83092,0.98928,0.95235,0.97726,0.9393,0.39228,0.29108,0.87982,0.00063125,0.00063125,0.00063125
17,5032.98,0.32662,0.22904,0.83139,0.98914,0.95522,0.97662,0.93794,0.39383,0.28275,0.87877,0.00059,0.00059,0.00059
18,5332.33,0.32338,0.22576,0.82942,0.98863,0.95375,0.97717,0.93827,0.39013,0.27811,0.87642,0.00054875,0.00054875,0.00054875
19,5663.83,0.31868,0.21851,0.82714,0.98874,0.95675,0.97735,0.94227,0.38196,0.27077,0.87307,0.0005075,0.0005075,0.0005075
20,5990.95,0.31541,0.21288,0.82728,0.99127,0.95577,0.97864,0.94477,0.38309,0.26649,0.87622,0.00046625,0.00046625,0.00046625
21,6319.4,0.31089,0.20668,0.82482,0.99205,0.9538,0.97923,0.94592,0.37726,0.26169,0.87412,0.000425,0.000425,0.000425
22,6655.29,0.30759,0.20226,0.82466,0.99148,0.95838,0.97896,0.94557,0.37742,0.25142,0.87247,0.00038375,0.00038375,0.00038375
23,7017.29,0.30457,0.19942,0.82218,0.99188,0.95682,0.97909,0.94588,0.37391,0.25102,0.86964,0.0003425,0.0003425,0.0003425
24,7392.39,0.30071,0.19391,0.82163,0.99217,0.95746,0.97912,0.94798,0.37084,0.25285,0.8692,0.00030125,0.00030125,0.00030125
25,7776.54,0.29629,0.18895,0.82144,0.99162,0.9582,0.9796,0.94911,0.36733,0.24186,0.86737,0.00026,0.00026,0.00026
26,8170.93,0.29326,0.18494,0.81878,0.99263,0.9594,0.97981,0.95027,0.36802,0.23882,0.86795,0.00021875,0.00021875,0.00021875
27,8569.82,0.29058,0.18167,0.81826,0.99197,0.95831,0.97996,0.9503,0.36507,0.23845,0.86461,0.0001775,0.0001775,0.0001775
28,8957.62,0.28704,0.17641,0.8172,0.99157,0.95747,0.97937,0.94984,0.36482,0.24051,0.86531,0.00013625,0.00013625,0.00013625
29,9348.4,0.28309,0.17176,0.81559,0.99167,0.95806,0.97965,0.95052,0.36367,0.23806,0.86487,9.5e-05,9.5e-05,9.5e-05
30,9708.2,0.27996,0.16867,0.8144,0.99091,0.95894,0.97987,0.95115,0.36227,0.23495,0.86433,5.375e-05,5.375e-05,5.375e-05
